year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite
2022.00,3.00,26.00,13.00,164.31,8.43,19.50,7.57,-2.87,-2.30,-0.10,,,
2022.00,3.00,26.00,14.00,158.59,9.77,19.25,7.36,-1.14,-2.28,-0.61,,,
2022.00,3.00,26.00,15.00,152.87,11.10,19.96,7.15,0.60,-2.27,-1.12,,,
2022.00,3.00,26.00,16.00,153.11,9.35,21.23,6.37,0.29,-0.85,-0.54,,,
2022.00,3.00,26.00,17.00,153.34,7.59,22.01,5.59,-0.02,0.58,0.04,,,
2022.00,3.00,26.00,18.00,153.58,5.84,20.90,4.80,-0.33,2.00,0.62,,,
2022.00,3.00,26.00,19.00,160.40,6.21,20.41,4.74,0.16,1.67,0.79,,,
2022.00,3.00,26.00,20.00,167.21,6.59,21.11,4.67,0.65,1.33,0.95,,,
2022.00,3.00,26.00,21.00,174.03,6.96,22.69,4.60,1.14,1.00,1.12,,,
2022.00,3.00,26.00,22.00,169.93,6.81,20.20,4.64,1.80,0.24,0.75,,,
2022.00,3.00,26.00,23.00,165.82,6.66,16.96,4.69,2.46,-0.52,0.39,,,
2019.00,11.00,22.00,0.00,57.87,12.35,7.74,13.94,2.21,-0.83,3.77,,,
2019.00,11.00,22.00,1.00,39.43,31.81,8.69,13.58,2.54,-0.92,3.76,,,
2019.00,11.00,22.00,2.00,20.99,51.26,9.68,13.21,2.86,-1.01,3.76,,,
2019.00,11.00,22.00,3.00,2.55,70.72,8.93,12.85,3.18,-1.09,3.75,,,
2019.00,11.00,22.00,4.00,23.76,55.72,7.32,13.96,3.65,-0.93,4.34,,,
2019.00,11.00,22.00,5.00,44.98,40.72,7.47,15.06,4.11,-0.77,4.93,,,
2019.00,11.00,22.00,6.00,66.20,25.72,7.16,16.17,4.58,-0.61,5.52,,,
2019.00,11.00,22.00,7.00,67.13,22.69,10.73,17.06,4.07,-0.10,4.67,,,
2019.00,11.00,22.00,8.00,68.07,19.65,10.76,17.95,3.55,0.41,3.83,,,
2019.00,11.00,22.00,9.00,69.00,16.62,9.84,18.84,3.04,0.92,2.99,,,
2019.00,11.00,22.00,10.00,58.65,23.66,9.04,19.16,2.03,0.43,2.67,,,
2019.00,11.00,22.00,11.00,48.29,30.71,9.06,19.47,1.03,-0.07,2.36,,,
2019.00,11.00,22.00,12.00,37.94,37.75,9.14,19.79,0.02,-0.56,2.05,,,
2019.00,11.00,22.00,13.00,45.31,29.80,9.09,19.25,0.43,-0.26,2.59,,,
2019.00,11.00,22.00,14.00,52.68,21.85,8.80,18.72,0.85,0.04,3.13,,,
2019.00,11.00,22.00,15.00,60.05,13.90,8.24,18.18,1.27,0.34,3.67,,,
2019.00,11.00,22.00,16.00,54.16,17.13,6.63,18.84,1.56,0.46,3.00,,,
2019.00,11.00,22.00,17.00,48.27,20.36,7.45,19.50,1.85,0.58,2.33,,,
2019.00,11.00,22.00,18.00,42.39,23.60,6.38,20.16,2.15,0.70,1.65,,,
2019.00,11.00,22.00,19.00,35.60,31.28,5.53,19.73,1.70,0.98,1.36,,,
2019.00,11.00,22.00,20.00,28.82,38.96,8.81,19.31,1.24,1.26,1.06,,,
2019.00,11.00,22.00,21.00,22.04,46.65,9.61,18.89,0.79,1.54,0.77,,,
2019.00,11.00,22.00,22.00,14.93,61.56,6.60,19.52,1.30,1.30,0.53,,,
2019.00,11.00,22.00,23.00,7.82,76.48,6.61,20.15,1.81,1.06,0.29,,,
2020.00,8.00,21.00,0.00,46.27,39.31,20.33,22.29,1.96,-0.81,1.96,,,
2020.00,8.00,21.00,1.00,61.15,33.74,20.91,21.46,0.47,-0.20,1.68,,,
2020.00,8.00,21.00,2.00,76.04,28.17,20.97,20.64,-1.03,0.41,1.41,,,
2020.00,8.00,21.00,3.00,90.92,22.61,20.23,19.81,-2.52,1.03,1.14,,,
2020.00,8.00,21.00,4.00,92.27,23.45,21.88,19.80,-2.53,1.50,1.17,,,
2020.00,8.00,21.00,5.00,93.63,24.30,20.88,19.80,-2.54,1.98,1.21,,,
2020.00,8.00,21.00,6.00,94.99,25.14,21.63,19.79,-2.55,2.46,1.24,,,
2020.00,8.00,21.00,7.00,94.17,21.66,21.21,19.92,-2.47,1.73,1.36,0.51,1.23,0.41
2020.00,8.00,21.00,8.00,93.36,18.18,20.61,20.05,-2.40,1.00,1.48,,,
2020.00,8.00,21.00,9.00,92.54,14.70,20.62,20.18,-2.33,0.28,1.60,0.33,1.13,0.29
2020.00,8.00,21.00,10.00,82.33,16.65,19.41,20.28,-2.11,0.28,1.99,,,
2020.00,8.00,21.00,11.00,72.12,18.60,18.77,20.38,-1.89,0.28,2.37,,,
2020.00,8.00,21.00,12.00,61.91,20.55,17.49,20.48,-1.67,0.28,2.76,,,
2020.00,8.00,21.00,13.00,75.96,19.81,18.04,20.44,-0.06,0.39,2.49,,,
2020.00,8.00,21.00,14.00,90.01,19.06,20.06,20.40,1.55,0.49,2.23,,,
2020.00,8.00,21.00,15.00,104.05,18.32,21.31,20.37,3.16,0.59,1.97,,,
2020.00,8.00,21.00,16.00,107.55,16.05,18.82,20.22,3.20,0.59,1.53,,,
2020.00,8.00,21.00,17.00,111.06,13.78,19.59,20.08,3.23,0.59,1.08,,,
2020.00,8.00,21.00,18.00,114.56,11.51,18.59,19.94,3.27,0.58,0.64,,,
2020.00,8.00,21.00,19.00,117.96,12.10,18.34,20.23,3.09,0.18,0.40,,,
2020.00,8.00,21.00,20.00,121.37,12.69,18.02,20.52,2.91,-0.22,0.16,,,
2020.00,8.00,21.00,21.00,124.78,13.28,17.53,20.81,2.73,-0.63,-0.08,,,
2020.00,8.00,21.00,22.00,128.26,15.72,17.61,20.79,2.75,-0.29,-0.13,,,
2020.00,8.00,21.00,23.00,131.74,18.17,16.60,20.77,2.77,0.04,-0.18,,,
2024.00,4.00,11.00,0.00,22.27,52.87,8.80,19.30,-1.49,-1.19,-0.87,,,
2024.00,4.00,11.00,1.00,33.07,44.17,11.43,19.14,-1.89,-0.72,-1.54,,,
2024.00,4.00,11.00,2.00,43.87,35.48,12.81,18.98,-2.29,-0.26,-2.21,,,
2024.00,4.00,11.00,3.00,54.67,26.79,12.12,18.82,-2.69,0.20,-2.88,,,
2024.00,4.00,11.00,4.00,37.65,43.08,17.58,18.74,-1.87,0.84,-3.40,,,
2024.00,4.00,11.00,5.00,20.63,59.38,14.87,18.67,-1.04,1.48,-3.91,,,
2024.00,4.00,11.00,6.00,3.61,75.67,14.14,18.59,-0.22,2.12,-4.43,,,
2024.00,4.00,11.00,7.00,4.70,75.40,16.15,18.47,-0.54,1.31,-3.50,,,
2024.00,4.00,11.00,8.00,5.79,75.13,15.57,18.35,-0.87,0.51,-2.58,,,
2024.00,4.00,11.00,9.00,6.88,74.86,12.77,18.22,-1.19,-0.30,-1.66,1.00,3.15,0.32
2024.00,4.00,11.00,10.00,9.07,63.21,13.59,17.79,-0.29,-0.24,-1.71,,,
2024.00,4.00,11.00,11.00,11.27,51.56,14.25,17.35,0.61,-0.18,-1.76,,,
2024.00,4.00,11.00,12.00,13.47,39.92,14.24,16.91,1.50,-0.13,-1.81,,,
2024.00,4.00,11.00,13.00,9.81,49.43,13.17,16.85,0.91,-0.22,-1.80,,,
2024.00,4.00,11.00,14.00,6.15,58.94,16.34,16.80,0.32,-0.32,-1.79,,,
2024.00,4.00,11.00,15.00,2.49,68.45,17.49,16.74,-0.27,-0.41,-1.77,,,
2024.00,4.00,11.00,16.00,6.42,68.66,18.14,16.44,-0.17,-0.56,-1.90,,,
2024.00,4.00,11.00,17.00,10.34,68.87,19.35,16.14,-0.06,-0.70,-2.03,,,
2024.00,4.00,11.00,18.00,14.27,69.07,17.61,15.84,0.05,-0.85,-2.16,,,
2024.00,4.00,11.00,19.00,26.76,57.72,18.87,16.06,0.41,-0.88,-1.64,,,
2024.00,4.00,11.00,20.00,39.26,46.38,21.96,16.27,0.77,-0.92,-1.11,,,
2024.00,4.00,11.00,21.00,51.75,35.03,21.76,16.49,1.13,-0.96,-0.59,,,
2024.00,4.00,11.00,22.00,34.82,54.08,20.79,16.36,0.99,-0.82,-0.68,,,
2024.00,4.00,11.00,23.00,17.90,73.13,22.80,16.23,0.85,-0.69,-0.77,,,
2020.00,4.00,24.00,0.00,61.08,65.84,9.17,8.80,-0.19,-1.66,1.03,,,
2020.00,4.00,24.00,1.00,51.30,61.53,9.19,9.59,0.54,-1.88,1.40,,,
2020.00,4.00,24.00,2.00,41.52,57.21,10.87,10.38,1.27,-2.10,1.77,,,
2020.00,4.00,24.00,3.00,31.74,52.90,10.32,11.16,2.00,-2.32,2.15,,,
2020.00,4.00,24.00,4.00,32.95,41.18,11.63,10.67,2.05,-2.39,2.45,,,
2020.00,4.00,24.00,5.00,34.17,29.46,13.57,10.17,2.09,-2.46,2.76,,,
2020.00,4.00,24.00,6.00,35.38,17.74,10.11,9.67,2.14,-2.53,3.06,,,
2020.00,4.00,24.00,7.00,37.15,18.06,11.31,9.60,2.49,-2.27,3.17,,,
2020.00,4.00,24.00,8.00,38.93,18.37,13.24,9.53,2.83,-2.00,3.28,0.34,1.08,0.32
2020.00,4.00,24.00,9.00,40.70,18.68,14.68,9.45,3.18,-1.73,3.39,,,
2020.00,4.00,24.00,10.00,35.94,28.60,9.84,8.92,3.15,-1.37,3.09,,,
2020.00,4.00,24.00,11.00,31.17,38.52,10.31,8.39,3.12,-1.00,2.80,,,
2020.00,4.00,24.00,12.00,26.41,48.44,10.66,7.85,3.10,-0.63,2.50,,,
2020.00,4.00,24.00,13.00,35.44,41.30,10.04,7.56,2.92,-0.68,2.89,,,
2020.00,4.00,24.00,14.00,44.47,34.16,9.17,7.28,2.73,-0.72,3.29,,,
2020.00,4.00,24.00,15.00,53.49,27.01,10.49,6.99,2.55,-0.77,3.68,,,
2020.00,4.00,24.00,16.00,57.18,23.23,9.68,6.64,1.29,-0.68,3.50,,,
2020.00,4.00,24.00,17.00,60.87,19.45,11.49,6.30,0.03,-0.59,3.32,,,
2020.00,4.00,24.00,18.00,64.56,15.67,11.26,5.96,-1.22,-0.50,3.15,,,
2020.00,4.00,24.00,19.00,60.35,17.17,11.99,5.93,-0.82,-0.24,2.72,,,
2020.00,4.00,24.00,20.00,56.13,18.66,11.36,5.91,-0.41,0.02,2.30,,,
2020.00,4.00,24.00,21.00,51.92,20.16,11.75,5.88,-0.00,0.27,1.87,,,
2020.00,4.00,24.00,22.00,39.88,35.10,13.27,6.13,0.45,-0.19,1.81,,,
2020.00,4.00,24.00,23.00,27.85,50.05,16.24,6.39,0.91,-0.65,1.75,,,
2021.00,9.00,19.00,0.00,131.19,10.77,29.72,8.51,2.20,-0.91,-3.13,,,
2021.00,9.00,19.00,1.00,132.76,8.79,22.36,8.13,2.67,-1.37,-2.20,,,
2021.00,9.00,19.00,2.00,134.32,6.82,23.72,7.76,3.13,-1.84,-1.28,,,
2021.00,9.00,19.00,3.00,135.89,4.84,26.61,7.38,3.60,-2.30,-0.36,,,
2021.00,9.00,19.00,4.00,135.20,4.69,27.37,7.12,3.78,-2.17,-0.66,,,
2021.00,9.00,19.00,5.00,134.51,4.54,28.91,6.86,3.97,-2.04,-0.96,,,
2021.00,9.00,19.00,6.00,133.81,4.39,29.21,6.61,4.15,-1.90,-1.26,,,
2021.00,9.00,19.00,7.00,143.55,4.72,29.84,7.05,3.85,-2.02,-0.79,,1.04,
2021.00,9.00,19.00,8.00,153.28,5.04,29.68,7.50,3.56,-2.13,-0.32,,,
2021.00,9.00,19.00,9.00,163.01,5.37,29.71,7.95,3.27,-2.25,0.16,,,
2021.00,9.00,19.00,10.00,161.56,5.62,29.90,7.88,3.24,-2.23,0.12,,,
2021.00,9.00,19.00,11.00,160.10,5.88,30.63,7.82,3.22,-2.22,0.09,,,
2021.00,9.00,19.00,12.00,158.65,6.14,31.01,7.75,3.19,-2.20,0.06,,,
2021.00,9.00,19.00,13.00,156.63,10.65,30.61,7.85,3.07,-2.00,-0.38,,,
2021.00,9.00,19.00,14.00,154.61,15.16,30.83,7.95,2.94,-1.80,-0.83,,,
2021.00,9.00,19.00,15.00,152.59,19.68,30.05,8.05,2.82,-1.59,-1.27,,,
2021.00,9.00,19.00,16.00,151.49,14.80,28.94,8.43,2.95,-1.39,-1.22,,,
2021.00,9.00,19.00,17.00,150.39,9.92,29.58,8.80,3.08,-1.19,-1.16,,,
2021.00,9.00,19.00,18.00,149.30,5.04,29.21,9.17,3.22,-0.99,-1.11,,,
2021.00,9.00,19.00,19.00,147.67,4.60,30.29,8.83,3.48,-1.46,-1.14,,,
2021.00,9.00,19.00,20.00,146.04,4.17,31.25,8.48,3.74,-1.94,-1.17,,,
2021.00,9.00,19.00,21.00,144.42,3.73,30.95,8.14,4.00,-2.41,-1.19,,,
2021.00,9.00,19.00,22.00,149.58,4.05,29.25,8.24,4.01,-1.88,-1.80,,,
2021.00,9.00,19.00,23.00,154.74,4.36,29.37,8.35,4.02,-1.34,-2.42,,,
2023.00,10.00,7.00,0.00,36.47,30.77,14.86,19.89,-1.30,1.10,-1.79,,,
2023.00,10.00,7.00,1.00,29.64,37.04,13.07,19.63,-1.23,1.05,-1.55,,,
2023.00,10.00,7.00,2.00,22.82,43.31,13.87,19.37,-1.17,0.99,-1.32,,,
2023.00,10.00,7.00,3.00,15.99,49.57,13.88,19.11,-1.11,0.94,-1.08,,,
2023.00,10.00,7.00,4.00,27.95,36.85,14.80,18.23,-1.04,0.72,-1.14,,,
2023.00,10.00,7.00,5.00,39.92,24.12,14.27,17.34,-0.98,0.50,-1.21,,,
2023.00,10.00,7.00,6.00,51.88,11.40,13.64,16.46,-0.91,0.29,-1.27,,,
2023.00,10.00,7.00,7.00,48.80,13.28,13.75,17.00,-0.22,0.75,-1.39,,,
2023.00,10.00,7.00,8.00,45.72,15.16,14.57,17.54,0.46,1.21,-1.51,,,
2023.00,10.00,7.00,9.00,42.64,17.05,14.45,18.09,1.15,1.68,-1.63,0.34,1.14,0.30
2023.00,10.00,7.00,10.00,38.20,25.31,13.39,18.08,-0.06,1.87,-1.45,,,
2023.00,10.00,7.00,11.00,33.75,33.58,13.77,18.08,-1.26,2.06,-1.28,,,
2023.00,10.00,7.00,12.00,29.31,41.84,14.73,18.08,-2.47,2.25,-1.10,,,
2023.00,10.00,7.00,13.00,31.86,47.10,12.84,18.96,-0.44,2.15,-0.48,,,
2023.00,10.00,7.00,14.00,34.42,52.36,12.06,19.83,1.59,2.04,0.14,,,
2023.00,10.00,7.00,15.00,36.97,57.62,10.94,20.71,3.62,1.93,0.77,,,
2023.00,10.00,7.00,16.00,28.95,59.81,10.27,20.17,3.53,1.98,0.85,,,
2023.00,10.00,7.00,17.00,20.93,62.01,10.86,19.62,3.43,2.02,0.93,,,
2023.00,10.00,7.00,18.00,12.90,64.21,8.90,19.08,3.34,2.07,1.01,,,
2023.00,10.00,7.00,19.00,8.63,67.10,10.54,19.12,2.59,1.50,0.94,,,
2023.00,10.00,7.00,20.00,4.36,69.98,8.64,19.16,1.84,0.93,0.88,,,
2023.00,10.00,7.00,21.00,0.09,72.87,10.27,19.21,1.09,0.35,0.82,,,
2023.00,10.00,7.00,22.00,14.41,64.42,7.75,19.89,1.24,0.65,0.60,,,
2023.00,10.00,7.00,23.00,28.74,55.97,8.51,20.57,1.38,0.94,0.39,,,
2022.00,9.00,30.00,0.00,35.28,86.65,31.82,14.56,2.28,0.98,2.89,,,
2022.00,9.00,30.00,1.00,33.83,86.50,26.84,14.74,1.77,0.51,3.15,,,
2022.00,9.00,30.00,2.00,32.38,86.35,28.96,14.92,1.25,0.05,3.40,,,
2022.00,9.00,30.00,3.00,30.94,86.20,30.16,15.09,0.74,-0.42,3.66,,,
2022.00,9.00,30.00,4.00,30.15,81.36,30.95,15.23,0.32,0.11,3.83,,,
2022.00,9.00,30.00,5.00,29.37,76.53,31.19,15.37,-0.10,0.63,3.99,,,
2022.00,9.00,30.00,6.00,28.58,71.69,31.51,15.52,-0.52,1.16,4.15,,,
2022.00,9.00,30.00,7.00,55.96,84.09,32.22,16.30,-1.65,1.07,3.72,,,
2022.00,9.00,30.00,8.00,83.34,96.48,33.97,17.08,-2.79,0.97,3.30,0.39,1.51,0.26
2022.00,9.00,30.00,9.00,110.72,108.88,32.58,17.86,-3.93,0.88,2.87,,,
2022.00,9.00,30.00,10.00,90.44,117.93,36.24,18.16,-3.90,0.98,2.65,,,
2022.00,9.00,30.00,11.00,70.16,126.97,33.10,18.46,-3.88,1.09,2.43,,,
2022.00,9.00,30.00,12.00,49.88,136.02,27.65,18.76,-3.86,1.20,2.21,,,
2022.00,9.00,30.00,13.00,70.05,115.68,27.06,18.38,-3.30,0.74,2.91,,,
2022.00,9.00,30.00,14.00,90.21,95.33,28.81,18.00,-2.74,0.29,3.62,,,
2022.00,9.00,30.00,15.00,110.38,74.99,28.13,17.61,-2.17,-0.16,4.33,,,
2022.00,9.00,30.00,16.00,104.59,91.14,30.97,17.79,-2.09,-0.10,3.89,,,
2022.00,9.00,30.00,17.00,98.81,107.29,32.16,17.97,-2.01,-0.04,3.46,,,
2022.00,9.00,30.00,18.00,93.02,123.44,30.40,18.15,-1.92,0.03,3.03,,,
2022.00,9.00,30.00,19.00,72.35,114.49,31.62,16.51,-2.30,0.32,3.24,,,
2022.00,9.00,30.00,20.00,51.67,105.55,32.01,14.87,-2.68,0.62,3.45,,,
2022.00,9.00,30.00,21.00,31.00,96.60,29.80,13.24,-3.06,0.91,3.65,,,
2022.00,9.00,30.00,22.00,36.80,106.85,30.85,14.30,-3.54,1.43,3.18,,,
2022.00,9.00,30.00,23.00,42.59,117.10,31.23,15.36,-4.01,1.96,2.71,,,
2021.00,1.00,11.00,0.00,121.98,23.85,36.28,20.78,2.85,-0.01,-1.70,,,
2021.00,1.00,11.00,1.00,106.89,23.69,36.74,20.57,1.95,0.11,-2.09,,,
2021.00,1.00,11.00,2.00,91.80,23.54,37.73,20.37,1.06,0.24,-2.48,,,
2021.00,1.00,11.00,3.00,76.71,23.39,37.36,20.16,0.16,0.36,-2.87,,,
2021.00,1.00,11.00,4.00,79.83,22.99,37.30,20.10,0.80,-0.35,-2.61,,,
2021.00,1.00,11.00,5.00,82.95,22.58,33.36,20.05,1.43,-1.07,-2.34,,,
2021.00,1.00,11.00,6.00,86.07,22.17,33.68,19.99,2.06,-1.78,-2.08,,,
2021.00,1.00,11.00,7.00,109.31,21.16,35.65,20.52,2.19,-1.43,-2.10,,,
2021.00,1.00,11.00,8.00,132.54,20.14,33.16,21.05,2.31,-1.07,-2.12,0.85,0.54,1.58
2021.00,1.00,11.00,9.00,155.78,19.12,29.94,21.59,2.43,-0.71,-2.14,,,
2021.00,1.00,11.00,10.00,149.40,14.79,29.72,21.40,2.35,-0.24,-2.26,,,
2021.00,1.00,11.00,11.00,143.03,10.45,33.28,21.21,2.28,0.23,-2.38,,,
2021.00,1.00,11.00,12.00,136.65,6.11,31.44,21.02,2.20,0.70,-2.50,,,
2021.00,1.00,11.00,13.00,122.06,5.23,34.81,19.71,2.37,0.71,-1.92,,,
2021.00,1.00,11.00,14.00,107.47,4.35,37.17,18.39,2.53,0.72,-1.34,,,
2021.00,1.00,11.00,15.00,92.88,3.47,39.46,17.08,2.70,0.72,-0.75,,,
2021.00,1.00,11.00,16.00,92.62,3.44,40.43,17.10,2.34,0.94,-0.61,,,
2021.00,1.00,11.00,17.00,92.35,3.41,39.85,17.13,1.99,1.17,-0.46,,,
2021.00,1.00,11.00,18.00,92.09,3.37,38.34,17.15,1.63,1.39,-0.32,,,
2021.00,1.00,11.00,19.00,94.08,3.55,38.52,16.99,1.99,0.67,-0.36,,,
2021.00,1.00,11.00,20.00,96.07,3.72,36.76,16.82,2.36,-0.06,-0.41,,,
2021.00,1.00,11.00,21.00,98.06,3.89,35.65,16.66,2.72,-0.78,-0.45,,,
2021.00,1.00,11.00,22.00,108.51,4.97,38.53,16.77,2.55,-0.79,-0.77,,,
2021.00,1.00,11.00,23.00,118.96,6.05,37.40,16.88,2.39,-0.80,-1.09,,,
2020.00,6.00,13.00,0.00,37.82,20.38,33.20,4.97,3.52,-0.40,1.79,,,
2020.00,6.00,13.00,1.00,30.57,50.95,32.45,5.20,2.40,0.37,1.70,,,
2020.00,6.00,13.00,2.00,23.32,81.52,34.38,5.44,1.28,1.14,1.61,,,
2020.00,6.00,13.00,3.00,16.07,112.09,33.66,5.67,0.16,1.91,1.52,,,
2020.00,6.00,13.00,4.00,15.58,111.29,37.24,5.82,-0.48,1.46,1.35,,,
2020.00,6.00,13.00,5.00,15.10,110.48,36.64,5.96,-1.12,1.02,1.18,,,
2020.00,6.00,13.00,6.00,14.61,109.68,36.22,6.10,-1.76,0.58,1.00,,,
2020.00,6.00,13.00,7.00,14.96,119.14,33.88,6.22,-1.57,0.14,1.15,0.46,1.27,0.37
2020.00,6.00,13.00,8.00,15.31,128.60,35.81,6.34,-1.38,-0.30,1.29,,,
2020.00,6.00,13.00,9.00,15.66,138.05,36.07,6.46,-1.19,-0.74,1.43,0.42,1.93,0.22
2020.00,6.00,13.00,10.00,11.25,138.49,37.32,6.55,-0.48,-0.83,1.89,,,
2020.00,6.00,13.00,11.00,6.85,138.92,36.80,6.64,0.23,-0.91,2.35,,,
2020.00,6.00,13.00,12.00,2.44,139.36,32.93,6.73,0.94,-1.00,2.80,,,
2020.00,6.00,13.00,13.00,4.05,142.35,27.95,6.81,0.98,-0.16,2.53,,,
2020.00,6.00,13.00,14.00,5.67,145.34,28.39,6.90,1.01,0.69,2.26,,,
2020.00,6.00,13.00,15.00,7.28,148.34,29.66,6.99,1.04,1.53,1.99,,,
2020.00,6.00,13.00,16.00,6.77,145.06,31.33,7.37,0.85,1.28,2.00,,,
2020.00,6.00,13.00,17.00,6.27,141.77,33.17,7.74,0.67,1.03,2.01,,,
2020.00,6.00,13.00,18.00,5.76,138.49,35.36,8.12,0.48,0.78,2.03,,,
2020.00,6.00,13.00,19.00,7.64,118.69,35.59,8.07,1.01,0.54,2.06,,,
2020.00,6.00,13.00,20.00,9.52,98.89,34.43,8.03,1.53,0.30,2.10,,,
2020.00,6.00,13.00,21.00,11.40,79.09,34.11,7.99,2.06,0.07,2.14,,,
2020.00,6.00,13.00,22.00,8.82,72.28,35.50,7.63,2.77,-0.28,2.11,,,
2020.00,6.00,13.00,23.00,6.23,65.47,36.10,7.28,3.48,-0.64,2.09,,,
2020.00,10.00,5.00,0.00,69.03,6.21,27.94,17.19,2.49,-1.33,0.72,,,
2020.00,10.00,5.00,1.00,80.12,8.32,28.32,17.36,2.60,-1.84,0.32,,,
2020.00,10.00,5.00,2.00,91.22,10.43,28.64,17.52,2.72,-2.35,-0.07,,,
2020.00,10.00,5.00,3.00,102.31,12.53,26.55,17.68,2.84,-2.86,-0.47,,,
2020.00,10.00,5.00,4.00,99.32,12.96,26.24,17.82,1.44,-1.48,-0.06,,,
2020.00,10.00,5.00,5.00,96.34,13.39,26.13,17.96,0.04,-0.10,0.35,,,
2020.00,10.00,5.00,6.00,93.35,13.81,25.66,18.10,-1.36,1.28,0.75,,,
2020.00,10.00,5.00,7.00,99.68,13.37,24.74,17.17,-1.66,0.50,1.16,,,
2020.00,10.00,5.00,8.00,106.01,12.93,25.35,16.24,-1.96,-0.28,1.57,0.39,1.51,0.26
2020.00,10.00,5.00,9.00,112.34,12.48,25.32,15.32,-2.26,-1.07,1.98,,,
2020.00,10.00,5.00,10.00,118.45,12.92,24.32,16.73,-3.65,-0.59,1.30,,,
2020.00,10.00,5.00,11.00,124.56,13.36,26.05,18.14,-5.04,-0.12,0.63,,,
2020.00,10.00,5.00,12.00,130.66,13.79,27.15,19.56,-6.43,0.36,-0.05,,,
2020.00,10.00,5.00,13.00,133.91,14.36,26.30,19.58,-5.62,1.21,-0.12,,,
